TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,MiFIR Identifier Description,ICB Industry,ICB Super-Sector Name,Start date,Country of Incorporation,Trading Currency,LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
JPXX,AMUNDI INDEX SOLUTIONS,AMUNDI INDEX MSCI JAPAN SRI HEDGED GBP,LU1646359619,ETFS,ETFs,,,25/09/2017,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
LUXG,AMUNDI INDEX SOLUTIONS,AMUNDI S&P GLOBAL LUXURY,LU1681048713,ETFS,ETFs,,,31/01/2018,Luxembourg,GBX,MAIN MARKET,,ETF2,EFEU
LUXU,AMUNDI INDEX SOLUTIONS,AMUNDI S&P GLOBAL LUXURY,LU1681048713,ETFS,ETFs,,,31/01/2018,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
MIVO,AMUNDI INDEX SOLUTIONS,AMUNDI MSCI EUROPE MIN VOL FACTOR,LU1681041627,ETFS,ETFs,,,18/04/2018,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
MPXG,AMUNDI INDEX SOLUTIONS,AMUNDI PACIFIC XJPN SRI PAB ETF - GBP,LU2469335298,ETFS,ETFs,,,21/06/2022,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
MSDG,AMUNDI INDEX SOLUTIONS,AMUNDI INDEX MSCI EM SRI UCITS ETF D,LU2059756754,ETFS,ETFs,,,26/11/2019,Luxembourg,GBX,MAIN MARKET,,ETF2,EFEU
MSDU,AMUNDI INDEX SOLUTIONS,AMUNDI INDEX MSCI EM SRI UCITS ETF D,LU2059756754,ETFS,ETFs,,,26/11/2019,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
MSRG,AMUNDI INDEX SOLUTIONS,AMUNDI INDEX MSCI EM SRI UCITS ETF DR,LU1861138961,ETFS,ETFs,,,01/10/2019,Luxembourg,GBX,MAIN MARKET,,ETF2,EFEU
MSRU,AMUNDI INDEX SOLUTIONS,AMUNDI INDEX MSCI EM SRI UCITS ETF DR,LU1861138961,ETFS,ETFs,,,01/10/2019,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
MWRD,AMUNDI INDEX SOLUTIONS,AMUNDI INDEX MSCI WORLD DR,LU1437016972,ETFS,ETFs,,,29/06/2017,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
NRAM,AMUNDI INDEX SOLUTIONS,AMUNDI NORTH AMERICA ESG BROAD CTB GBX,LU1437016543,ETFS,ETFs,,,29/06/2017,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
NRAU,AMUNDI INDEX SOLUTIONS,AMUNDI NORTH AMERICA ESG BROAD CTB USD,LU1437016543,ETFS,ETFs,,,02/02/2021,Luxembourg,USD,MAIN MARKET,,ETF2,EFEU
PABW,AMUNDI INDEX SOLUTIONS,AMUNDI MSCI WORLD CLIMATE PARIS ALIGNED,LU2182388400,ETFS,ETFs,,,23/02/2021,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
PR1T,AMUNDI INDEX SOLUTIONS,AM PRIME US TREAS BOND 0-1Y,LU2182388665,ETFS,ETFs,,,22/09/2020,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
PRAM,AMUNDI INDEX SOLUTIONS,AM PRIME EMERGING MARKETS UCITS ETF DR,LU2300295123,ETFS,ETFs,,,23/11/2021,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
PRAU,AMUNDI INDEX SOLUTIONS,AMUNDI PRIME USA UCITS DR USD,LU2089238468,ETFS,ETFs,,,06/07/2021,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
PRIC,AMUNDI INDEX SOLUTIONS,AMUNDI PRIME EURO CORP UCITS ETF DR (D),LU1931975079,ETFS,ETFs,,,14/03/2019,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
PRIE,AMUNDI INDEX SOLUTIONS,AMUNDI PRIME EUROPE UCITS ETF DR (D),LU1931974262,ETFS,ETFs,,,14/03/2019,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
PRIG,AMUNDI INDEX SOLUTIONS,AMUNDI PRIME GLOBAL GOV UCITS ETF DR (D),LU1931975236,ETFS,ETFs,,,14/03/2019,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
PRIJ,AMUNDI INDEX SOLUTIONS,AMUNDI PRIME JAPAN UCITS ETF DR (D),LU1931974775,ETFS,ETFs,,,14/03/2019,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
PRIP,AMUNDI INDEX SOLUTIONS,AMUNDI PRIME US CORPORATES UCITS ETF DR,LU2037749152,ETFS,ETFs,,,03/10/2019,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
PRIR,AMUNDI INDEX SOLUTIONS,AMUNDI PRIME EURO GOV UCITS ETF DR (D),LU1931975152,ETFS,ETFs,,,14/03/2019,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
PRIT,AMUNDI INDEX SOLUTIONS,AMUNDI PRIME US TREAS UCITS ETF DR (D),LU1931975319,ETFS,ETFs,,,14/03/2019,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
PRIU,AMUNDI INDEX SOLUTIONS,AMUNDI PRIME USA UCITS ETF DR (D),LU1931974858,ETFS,ETFs,,,14/03/2019,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
PRIW,AMUNDI INDEX SOLUTIONS,AMUNDI PRIME GLOBAL UCITS ETF DR (D),LU1931974692,ETFS,ETFs,,,14/03/2019,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
PRIZ,AMUNDI INDEX SOLUTIONS,AMUNDI PRIME EUROZONE UCITS ETF DR (D),LU1931974429,ETFS,ETFs,,,14/03/2019,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
PRJU,AMUNDI INDEX SOLUTIONS,AMUNDI PRIME JAPAN UCITS ETF DR  JPY (D),LU1931974775,ETFS,ETFs,,,23/02/2021,Luxembourg,USD,MAIN MARKET,,ETF2,EFEU
PRUC,AMUNDI INDEX SOLUTIONS,AMUNDI PRIME US CORPORATES UCITS ETF DR,LU2037749152,ETFS,ETFs,,,03/10/2019,Luxembourg,USD,MAIN MARKET,,ETF2,EFEU
PRUK,AMUNDI INDEX SOLUTIONS,AMUNDI PRIME UK MIDSM CAP UCITS ETF DR D,LU2182388152,ETFS,ETFs,,,21/07/2020,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
PRWU,AMUNDI INDEX SOLUTIONS,AMUNDI PRIME GLBL UCITS ETF DR - USD (C),LU2089238203,ETFS,ETFs,,,23/02/2021,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
RS2G,AMUNDI INDEX SOLUTIONS,AMUNDI RUSSELL 2000,LU1681038839,ETFS,ETFs,,,22/03/2018,Luxembourg,GBX,MAIN MARKET,,ETF2,EFEU
RS2U,AMUNDI INDEX SOLUTIONS,AMUNDI RUSSELL 2000,LU1681038839,ETFS,ETFs,,,22/03/2018,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
SADA,AMUNDI INDEX SOLUTIONS,AM INDEX MSCI EM ASIA SRI UCITS ETF DR,LU2300294589,ETFS,ETFs,,,19/10/2021,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
SMRG,AMUNDI INDEX SOLUTIONS,AMUNDI INDEX GLOBAL MULTI SMART BETA,LU1602145200,ETFS,ETFs,,,14/02/2018,Luxembourg,GBX,MAIN MARKET,,ETF2,EFEU
SMRU,AMUNDI INDEX SOLUTIONS,AMUNDI INDEX GLOBAL MULTI SMART BETA,LU1602145200,ETFS,ETFs,,,14/02/2018,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
SRHE,AMUNDI INDEX SOLUTIONS,AMUNDI INDEX MSCI EMU SRI UCITS ETF DR,LU2109787635,ETFS,ETFs,,,19/10/2021,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
TPHG,AMUNDI INDEX SOLUTIONS,AMUNDI JAPAN TOPIX DH GBP,LU1681038086,ETFS,ETFs,,,18/04/2018,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
TPHU,AMUNDI INDEX SOLUTIONS,AMUNDI JAPAN TOPIX DH USD,LU1681037948,ETFS,ETFs,,,18/04/2018,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
TPXG,AMUNDI INDEX SOLUTIONS,AMUNDI JAPAN TOPIX,LU1681037781,ETFS,ETFs,,,18/04/2018,Luxembourg,GBX,MAIN MARKET,,ETF2,EFEU
TPXU,AMUNDI INDEX SOLUTIONS,AMUNDI JAPAN TOPIX,LU1681037781,ETFS,ETFs,,,18/04/2018,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
UCRP,AMUNDI INDEX SOLUTIONS,AMUNDI US CORP SRI UCITS ETF DR C,LU1806495575,ETFS,ETFs,,,04/02/2020,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
USRI,AMUNDI INDEX SOLUTIONS,AM MSCI USA SRI ETF DR,LU1861136247,ETFS,ETFs,,,10/11/2020,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
WRDU,AMUNDI INDEX SOLUTIONS,AMUNDI INDEX MSCI WORLD,LU1437016972,ETFS,ETFs,,,02/02/2021,Luxembourg,USD,MAIN MARKET,,ETF2,EFEU
WSRI,AMUNDI INDEX SOLUTIONS,AMUNDI MSCI WORLD SRI UCITS ETF DR C,LU1861134382,ETFS,ETFs,,,04/02/2020,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
AMC,AMUR MINERALS CORPORATION,ORD NPV,VGG042401007,SHRS,Shares,Basic Materials,Basic Resources,15/03/2006,British Virgin Islands,GBX,AIM,,AMSM,ASM8
ANAA,ANA HOLDINGS INC.,ADR EACH REPR 2 COM SHS LVL I,US0323501009,DPRS,Depositary receipts,Consumer Discretionary,Travel and Leisure,09/05/2013,Japan,USD,ADMISSION TO TRADING ONLY,,IOBU,INLU
ASY,ANDREWS SYKES GROUP PLC,ORD 1P,GB0002684552,SHRS,Shares,Industrials,Industrial Goods and Services,24/12/2001,United Kingdom,GBX,AIM,,ASQ1,AMQ1
AMOI,ANEMOI INTERNATIONAL LTD,ORD USD0.001 (DI),VGG0419A1057,SHRS,Shares,Technology,Technology,26/10/2020,British Virgin Islands,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
ANX,ANEXO GROUP PLC,ORD 0.05P,GB00BF2G3L29,SHRS,Shares,Industrials,Industrial Goods and Services,20/06/2018,United Kingdom,GBX,AIM,,ASQ1,AMQ1
